,,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.
,,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE
,,yen,yen,yen,yen,yen,yen,yen,yen,yen,yen
,,YOKOHAMA RUBBER,FUTURE,FUJIYA,KAJIMA,MITSUBISHI MATERIALS,WOWOW,DAIKIN INDUSTRIES,HONDA MOTOR,YAMATO,KEY COFFEE
,,T5101,T4722,T2211,T1812,T5711,T4839,T6367,T7267,T1967,T2594
,,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange
,,X01,X01,X01,X01,X01,X01,X01,X01,X01,X01
,,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock
,,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
MONTHLY(M),2005/11,1284,331.25,2930,1202,4860,1295,3260,3360,493,1528
MONTHLY(M),2005/12,1382,596.25,3040,1356,6030,1310,3450,3365,516,1570
MONTHLY(M),2006/01,1326,605,3040,1542,6070,1295,3850,3330,559,1636
MONTHLY(M),2006/02,1244,510,2640,1372,6090,1280,3880,3450,490,1611
MONTHLY(M),2006/03,1224,545,2550,1470,6290,1325,4120,3645,486,1629
MONTHLY(M),2006/04,1194,590,2460,1288,6150,1405,3970,4045,474,1634
MONTHLY(M),2006/05,1044,505,2150,1098,5010,1175,3670,3660,466,1589
MONTHLY(M),2006/06,1012,505,2210,1050,4880,1210,3970,3630,466,1613
MONTHLY(M),2006/07,986,476,2040,964,4550,1025,3700,3780,464,1638
MONTHLY(M),2006/08,1072,530,2170,1088,5110,1220,3590,3990,490,1690
MONTHLY(M),2006/09,1134,473.5,2180,1080,4870,1180,3500,3970,480,1666
MONTHLY(M),2006/10,1176,520,2280,1118,4610,1505,3300,4140,448,1680
MONTHLY(M),2006/11,1354,530,2290,1096,4470,1600,3690,4100,445,1706
MONTHLY(M),2006/12,1436,505,2340,1044,4470,1690,4140,4700,464,1702
MONTHLY(M),2007/01,1386,500,2120,1116,4730,2080,3990,4750,464,1706
MONTHLY(M),2007/02,1466,457.5,2500,1256,5430,2100,4230,4420,476,1717
MONTHLY(M),2007/03,1448,441.5,2640,1204,5590,1870,4100,4110,461,1693
MONTHLY(M),2007/04,1488,413.5,2560,1188,5890,1660,4060,4130,433,1687
MONTHLY(M),2007/05,1756,414,2290,992,6410,1515,4450,4280,418,1682
MONTHLY(M),2007/06,1856,408.5,2480,1032,6730,1655,4490,4500,420,1780
MONTHLY(M),2007/07,1710,357.5,2220,978,7680,1405,4660,4300,412,1657
MONTHLY(M),2007/08,1520,295,2080,964,6440,1155,5200,3820,355,1630
MONTHLY(M),2007/09,1720,273.5,1990,790,7140,1140,5530,3860,351,1663
MONTHLY(M),2007/10,1704,321.5,1910,812,6670,1125,5780,4300,400,1510
MONTHLY(M),2007/11,1372,334.5,1740,728,5560,930,5690,3760,328,1513
MONTHLY(M),2007/12,1332,297.5,1760,730,4780,1100,6260,3750,281,1497
MONTHLY(M),2008/01,1190,248,1660,682,4340,865,4770,3320,244,1562
MONTHLY(M),2008/02,1092,280,1530,656,4990,615,4780,3260,293,1505
MONTHLY(M),2008/03,954,290,1520,564,4330,535,4290,2845,247,1507
MONTHLY(M),2008/04,1064,281,1490,696,4930,830,5180,3300,270,1513
MONTHLY(M),2008/05,1030,311.5,1470,860,5050,930,5440,3530,272,1846
MONTHLY(M),2008/06,998,321.5,1440,742,4540,905,5360,3610,257,1541
MONTHLY(M),2008/07,1052,305.5,1410,704,4270,815.5,4640,3490,242,1610
MONTHLY(M),2008/08,1156,299.5,1330,680,3910,762.5,3720,3580,247,1553
MONTHLY(M),2008/09,1122,239.25,1210,626,3260,664.5,3470,3090,267,1579
MONTHLY(M),2008/10,942,251,1200,554,2170,475,2175,2400,249,1553
MONTHLY(M),2008/11,946,168,1250,554,1920,501,2495,2085,253,1524
MONTHLY(M),2008/12,888,175,1200,620,2230,600,2315,1906,295,1580
MONTHLY(M),2009/01,642,170,1190,484,2290,683,2115,2070,289,1476
MONTHLY(M),2009/02,676,163.5,1210,412,2310,635.5,2170,2390,298,1490
MONTHLY(M),2009/03,818,173.25,1210,484,2650,675,2680,2315,328,1546
MONTHLY(M),2009/04,854,161.5,1250,568,2840,616,2645,2845,329,1488
